Films,Year,Year1,Country,Director,latitude,longitude
All about My Mother,"1999Spain, France",1999,"Spain, France",Directed byPedro Almodóvar,48.86659315,2.3004169899042464
A City of Sadness,1989Taiwan,1989,Taiwan,Directed byHou Hsiao-Hsien,23.5983227,120.83537694479215
Orlando,"1992United Kingdom, Russian Federation, Italy, France, Netherlands",1992,"United Kingdom, Russian Federation, Italy, France, Netherlands",Directed bySally Potter,,
West of the Tracks,2002People's Republic of China,2002,People's Republic of China,Directed byWang Bing,35.0000663,104.999955
Le Bonheur,1965France,1965,France,Directed byAgnès Varda,46.603354,1.8883335
Meghe Dhaka Tara,1960India,1960,India,Directed byRitwik Ghatak,22.3511148,78.6677428
Days of Heaven,1978USA,1978,USA,Directed byTerrence Malick,39.7837304,-100.445882
West Indies: The Fugitive Slaves of Liberty,"1979France, Mauritania",1979,"France, Mauritania",Directed byMed Hondo,48.867942400000004,2.2746138563311717
Twin Peaks: The Return,2017USA,2017,USA,Directed byDavid Lynch,39.7837304,-100.445882
Chinatown,1974USA,1974,USA,Directed byRoman Polanski,39.7837304,-100.445882
La Grande Illusion,1937France,1937,France,Directed byJean Renoir,46.603354,1.8883335
India Song,1975France,1975,France,Directed byMarguerite Duras,46.603354,1.8883335
Alien,"1979USA, United Kingdom",1979,"USA, United Kingdom",Directed byRidley Scott,52.2153827,0.1258329
Vampyr,"1932Germany, France",1932,"Germany, France",Directed byCarl Th. Dreyer,45.6143558,4.6831358
The Watermelon Woman,1997USA,1997,USA,Directed byCheryl Dunye,39.7837304,-100.445882
Gertrud,1964Denmark,1964,Denmark,Directed byCarl Th. Dreyer,55.670249,10.3333283
All That Heaven Allows,1955USA,1955,USA,Directed byDouglas Sirk,39.7837304,-100.445882
Partie de campagne,1936France,1936,France,Directed byJean Renoir,46.603354,1.8883335
Pickpocket,1959France,1959,France,Directed byRobert Bresson,46.603354,1.8883335
The Seventh Seal,1957Sweden,1957,Sweden,Directed byIngmar Bergman,59.6749712,14.5208584
Trouble in Paradise,1932USA,1932,USA,Directed byErnst Lubitsch,39.7837304,-100.445882
Sambizanga,"1972Angola, France, Congo",1972,"Angola, France, Congo",Directed bySarah Maldoror,,
The Wild Bunch,1969USA,1969,USA,Directed bySam Peckinpah,39.7837304,-100.445882
Les Enfants du paradis,1945France,1945,France,Directed byMarcel Carné,46.603354,1.8883335
La ciénaga,"2001Argentina, USA, Japan, France, Switzerland, Spain, Brazil",2001,"Argentina, USA, Japan, France, Switzerland, Spain, Brazil",Directed byLucrecia Martel,,
It's a Wonderful Life,1947USA,1947,USA,Directed byFrank Capra,39.7837304,-100.445882
Notorious,1946USA,1946,USA,Directed byAlfred Hitchcock,39.7837304,-100.445882
Lawrence of Arabia,1962United Kingdom,1962,United Kingdom,Directed byDavid Lean,54.7023545,-3.2765753
Pulp Fiction,1994USA,1994,USA,Directed byQuentin Tarantino,39.7837304,-100.445882
Raging Bull,1980USA,1980,USA,Directed byMartin Scorsese,39.7837304,-100.445882
His Girl Friday,1939USA,1939,USA,Directed byHoward Hawks,39.7837304,-100.445882
Fanny and Alexander,"1982Sweden, France, Federal Republic of Germany",1982,"Sweden, France, Federal Republic of Germany",Directed byIngmar Bergman,,
The Ascent,1976USSR,1976,USSR,Directed byLarissa Shepitko,46.3421653,48.0254474
Only Angels Have Wings,1939USA,1939,USA,Directed byHoward Hawks,39.7837304,-100.445882
The Umbrellas of Cherbourg,"1964France, Federal Republic of Germany",1964,"France, Federal Republic of Germany",Directed byJacques Demy,,
Johnny Guitar,1954USA,1954,USA,Directed byNicholas Ray,39.7837304,-100.445882
The Colour of Pomegranates,"1968USSR, Armenian SSR",1968,"USSR, Armenian SSR",Directed bySergei Paradjanov,,
The Matrix,"1999USA, Australia",1999,"USA, Australia",Directed byThe Wachowskis,38.26083395,-104.659511365206
There Will Be Blood,2007USA,2007,USA,Directed byPaul Thomas Anderson,39.7837304,-100.445882
The Thing,1982USA,1982,USA,Directed byJohn Carpenter,39.7837304,-100.445882
The Texas Chain Saw Massacre,1974USA,1974,USA,Directed byTobe Hooper,39.7837304,-100.445882
The Conformist,"1970Italy, France, Federal Republic of Germany",1970,"Italy, France, Federal Republic of Germany",Directed byBernardo Bertolucci,,
"Aguirre, Wrath of God",1972Federal Republic of Germany,1972,Federal Republic of Germany,Directed byWerner Herzog,51.1638175,10.4478313
Don't Look Now,"1973United Kingdom, Italy",1973,"United Kingdom, Italy",Directed byNicolas Roeg,54.7690311,-1.5914109
Nashville,1975USA,1975,USA,Directed byRobert Altman,39.7837304,-100.445882
A Woman under the Influence,1974USA,1974,USA,Directed byJohn Cassavetes,39.7837304,-100.445882
To Be or Not to Be,1942USA,1942,USA,Directed byErnst Lubitsch,39.7837304,-100.445882
Bringing Up Baby,1938USA,1938,USA,Directed byHoward Hawks,39.7837304,-100.445882
The Man Who Shot Liberty Valance,1962USA,1962,USA,Directed byJohn Ford,39.7837304,-100.445882
Touch of Evil,1958USA,1958,USA,Directed byOrson Welles,39.7837304,-100.445882
Wild Strawberries,1957Sweden,1957,Sweden,Directed byIngmar Bergman,59.6749712,14.5208584
The Wizard of Oz,1939USA,1939,USA,Directed byVictor Fleming,39.7837304,-100.445882
"Goodbye, Dragon Inn",2003Taiwan,2003,Taiwan,Directed byTsai Ming-liang,23.5983227,120.83537694479215
The Godfather Part II,1974USA,1974,USA,Directed byFrancis Ford Coppola,39.7837304,-100.445882
Jaws,1975USA,1975,USA,Directed bySteven Spielberg,39.7837304,-100.445882
Come and See,"1985USSR, Byelorussian SSR",1985,"USSR, Byelorussian SSR",Directed byElem Klimov,,
La Maman et la Putain,1973France,1973,France,Directed byJean Eustache,46.603354,1.8883335
Vagabond,"1985France, United Kingdom",1985,"France, United Kingdom",Directed byAgnès Varda,51.4644439,-0.6520573027777781
The House Is Black,1962Iran,1962,Iran,Directed byForough Farokhzad,32.6475314,54.5643516
Rio Bravo,1958USA,1958,USA,Directed byHoward Hawks,39.7837304,-100.445882
Once upon a Time in the West,"1968Italy, USA",1968,"Italy, USA",Directed bySergio Leone,32.1840381,-96.8847194
A Man Escaped,1956France,1956,France,Directed byRobert Bresson,46.603354,1.8883335
The General,1926USA,1926,USA,"Directed byBuster Keaton, Clyde Bruckman",39.7837304,-100.445882
Black Girl,"1965Senegal, France",1965,"Senegal, France",Directed byOusmane Sembène,48.8618315,2.3069800563427982
Tropical Malady,"2004France, Thailand, Germany, Italy, Switzerland",2004,"France, Thailand, Germany, Italy, Switzerland",Directed byApichatpong Weerasethakul,,
Get Out,"2017USA, Japan",2017,"USA, Japan",Directed byJordan Peele,40.9921996,-75.9078749
Parasite,2019Republic of Korea,2019,Republic of Korea,Directed byBong Joon-ho,36.638392,127.6961188
Yi Yi,"1999Taiwan, Japan",1999,"Taiwan, Japan",Directed byEdward Yang,35.63753835,139.72186297444085
Ugetsu Monogatari,1953Japan,1953,Japan,Directed byKenji Mizoguchi,36.5748441,139.2394179
The Leopard,"1962Italy, France",1962,"Italy, France",Directed byLuchino Visconti,45.8319718,7.7395665
Madame de...,"1953France, Italy",1953,"France, Italy",Directed byMax Ophuls,45.8319718,7.7395665
The Shining,"1980USA, United Kingdom",1980,"USA, United Kingdom",Directed byStanley Kubrick,52.2153827,0.1258329
CHUNGKING EXPRESS,1994Hong Kong,1994,Hong Kong,Directed byWong Kar Wai,22.350627,114.1849161
Blue Velvet,1986USA,1986,USA,Directed byDavid Lynch,39.7837304,-100.445882
The Spirit of the Beehive,1973Spain,1973,Spain,Directed byVíctor Erice,39.3260685,-4.8379791
Pierrot le fou,"1965France, Italy",1965,"France, Italy",Directed byJean-Luc Godard,45.8319718,7.7395665
Histoire(s) du Cinéma,"1988France, Switzerland",1988,"France, Switzerland",Directed byJean-Luc Godard,48.588962249999994,7.7678483472198785
A Matter of Life and Death,1946United Kingdom,1946,United Kingdom,"Directed byMichael Powell, Emeric Pressburger",54.7023545,-3.2765753
Modern Times,1936USA,1936,USA,Directed byCharles Chaplin,39.7837304,-100.445882
Sunset Blvd.,1950USA,1950,USA,Directed byBilly Wilder,39.7837304,-100.445882
Céline and Julie Go Boating,1974France,1974,France,Directed byJacques Rivette,46.603354,1.8883335
A Brighter Summer Day,1991Taiwan,1991,Taiwan,Directed byEdward Yang,23.5983227,120.83537694479215
Sátántangó,"1994Hungary, Germany, Switzerland",1994,"Hungary, Germany, Switzerland",Directed byBéla Tarr,,
Spirited Away,2001Japan,2001,Japan,Directed byHayao Miyazaki,36.5748441,139.2394179
Sansho the Bailiff,1954Japan,1954,Japan,Directed byKenji Mizoguchi,36.5748441,139.2394179
Imitation of Life,1959USA,1959,USA,Directed byDouglas Sirk,39.7837304,-100.445882
L'avventura,"1960Italy, France",1960,"Italy, France",Directed byMichelangelo Antonioni,45.8319718,7.7395665
Journey to Italy,"1954Italy, France",1954,"Italy, France",Directed byRoberto Rossellini,45.8319718,7.7395665
My Neighbour Totoro,1988Japan,1988,Japan,Directed byHayao Miyazaki,36.5748441,139.2394179
The Red Shoes,1948United Kingdom,1948,United Kingdom,"Directed byMichael Powell, Emeric Pressburger",54.7023545,-3.2765753
Metropolis,1927Germany,1927,Germany,Directed byFritz Lang,51.1638175,10.4478313
Andrei Rublev,1966USSR,1966,USSR,Directed byAndrei Tarkovsky,46.3421653,48.0254474
La Jetée,1962France,1962,France,Directed byChris Marker,46.603354,1.8883335
The Gleaners and I,2000France,2000,France,Directed byAgnès Varda,46.603354,1.8883335
Touki Bouki,1973Senegal,1973,Senegal,Directed byDjibril Diop Mambéty,14.4750607,-14.4529612
The Third Man,1949United Kingdom,1949,United Kingdom,Directed byCarol Reed,54.7023545,-3.2765753
GoodFellas,1990USA,1990,USA,Directed byMartin Scorsese,39.7837304,-100.445882
Casablanca,1942USA,1942,USA,Directed byMichael Curtiz,39.7837304,-100.445882
Daughters of the Dust,1991USA,1991,USA,Directed byJulie Dash,39.7837304,-100.445882
La dolce vita,"1960Italy, France",1960,"Italy, France",Directed byFederico Fellini,45.8319718,7.7395665
Moonlight,2016USA,2016,USA,Directed byBarry Jenkins,39.7837304,-100.445882
Sans soleil,1982France,1982,France,Directed byChris Marker,46.603354,1.8883335
The Apartment,1960USA,1960,USA,Directed byBilly Wilder,39.7837304,-100.445882
Sherlock Jr.,1924USA,1924,USA,Directed byBuster Keaton,39.7837304,-100.445882
Le Mépris,"1963France, Italy",1963,"France, Italy",Directed byJean-Luc Godard,45.8319718,7.7395665
Battleship Potemkin,1925USSR,1925,USSR,Directed bySergei M. Eisenstein,46.3421653,48.0254474
Blade Runner,"1982USA, Hong Kong",1982,"USA, Hong Kong",Directed byRidley Scott,18.3848631,-65.8285201
News from Home,"1976France, Belgium",1976,"France, Belgium",Directed byChantal Akerman,50.5265703,5.3579683
Fear Eats the Soul,1974Federal Republic of Germany,1974,Federal Republic of Germany,Directed byRainer Werner Fassbinder,51.1638175,10.4478313
The Piano,"1992Australia, France",1992,"Australia, France",Directed byJane Campion,47.7460818,-3.3645011
The 400 Blows,1959France,1959,France,Directed byFrançois Truffaut,46.603354,1.8883335
Ordet,1955Denmark,1955,Denmark,Directed byCarl Th. Dreyer,55.670249,10.3333283
Wanda,1970USA,1970,USA,Directed byBarbara Loden,39.7837304,-100.445882
Barry Lyndon,"1975USA, United Kingdom",1975,"USA, United Kingdom",Directed byStanley Kubrick,52.2153827,0.1258329
North by Northwest,1959USA,1959,USA,Directed byAlfred Hitchcock,39.7837304,-100.445882
The Battle of Algiers,"1966Italy, Algeria",1966,"Italy, Algeria",Directed byGillo Pontecorvo,41.912484500000005,12.509646792261236
Stalker,1979USSR,1979,USSR,Directed byAndrei Tarkovsky,46.3421653,48.0254474
Killer of Sheep,1977USA,1977,USA,Directed byCharles Burnett,39.7837304,-100.445882
Rashomon,1950Japan,1950,Japan,Directed byAkira Kurosawa,36.5748441,139.2394179
Bicycle Thieves,1948Italy,1948,Italy,Directed byVittorio De Sica,42.6384261,12.674297
Rear Window,1954USA,1954,USA,Directed byAlfred Hitchcock,39.7837304,-100.445882
À bout de souffle,1960France,1960,France,Directed byJean-Luc Godard,46.603354,1.8883335
Some Like It Hot,1959USA,1959,USA,Directed byBilly Wilder,39.7837304,-100.445882
M,1931Germany,1931,Germany,Directed byFritz Lang,51.1638175,10.4478313
City Lights,1931USA,1931,USA,Directed byCharles Chaplin,39.7837304,-100.445882
Pather Panchali,1955India,1955,India,Directed bySatyajit Ray,22.3511148,78.6677428
L'Atalante,1934France,1934,France,Directed byJean Vigo,46.603354,1.8883335
8½,"1963Italy, France",1963,"Italy, France",Directed byFederico Fellini,45.8319718,7.7395665
Psycho,1960USA,1960,USA,Directed byAlfred Hitchcock,39.7837304,-100.445882
Mirror,1975USSR,1975,USSR,Directed byAndrei Tarkovsky,46.3421653,48.0254474
Portrait of a Lady on Fire,2019France,2019,France,Directed byCéline Sciamma,46.603354,1.8883335
Taxi Driver,1976USA,1976,USA,Directed byMartin Scorsese,39.7837304,-100.445882
Daisies,1966Czechoslovakia,1966,Czechoslovakia,Directed byVěra Chytilová,48.257918,14.5007688
Shoah,1985France,1985,France,Directed byClaude Lanzmann,46.603354,1.8883335
The Night of the Hunter,1955USA,1955,USA,Directed byCharles Laughton,39.7837304,-100.445882
Au hasard Balthazar,"1966France, Sweden",1966,"France, Sweden",Directed byRobert Bresson,48.8534987,2.3177448
Do the Right Thing,1989USA,1989,USA,Directed bySpike Lee,39.7837304,-100.445882
Playtime,1967France,1967,France,Directed byJacques Tati,46.603354,1.8883335
Late Spring,1949Japan,1949,Japan,Directed byYasujirō Ozu,36.5748441,139.2394179
The Passion of Joan of Arc,1927France,1927,France,Directed byCarl Th. Dreyer,46.603354,1.8883335
Seven Samurai,1954Japan,1954,Japan,Directed byAkira Kurosawa,36.5748441,139.2394179
Apocalypse Now,1979USA,1979,USA,Directed byFrancis Ford Coppola,39.7837304,-100.445882
Persona,1966Sweden,1966,Sweden,Directed byIngmar Bergman,59.6749712,14.5208584
Close-up,1989Iran,1989,Iran,Directed byAbbas Kiarostami,32.6475314,54.5643516
Meshes of the Afternoon,1943USA,1943,USA,"Directed byMaya Deren, Alexander Hackenschmied",39.7837304,-100.445882
The Searchers,1956USA,1956,USA,Directed byJohn Ford,39.7837304,-100.445882
Cléo from 5 to 7,"1962France, Italy",1962,"France, Italy",Directed byAgnès Varda,45.8319718,7.7395665
La Règle du jeu,1939France,1939,France,Directed byJean Renoir,46.603354,1.8883335
The Godfather,1972USA,1972,USA,Directed byFrancis Ford Coppola,39.7837304,-100.445882
Sunrise  A Song of Two Humans,1927USA,1927,USA,Directed byF.W. Murnau,39.7837304,-100.445882
Singin' in the Rain,1951USA,1951,USA,"Directed byGene Kelly, Stanley Donen",39.7837304,-100.445882
Man with a Movie Camera,"1929Ukrainian SSR, USSR",1929,"Ukrainian SSR, USSR",Directed byDziga Vertov,,
Mulholland Dr.,"2001France, USA",2001,"France, USA",Directed byDavid Lynch,32.7569047,-97.0696914
Beau travail,1998France,1998,France,Directed byClaire Denis,46.603354,1.8883335
2001: A Space Odyssey,"1968USA, United Kingdom",1968,"USA, United Kingdom",Directed byStanley Kubrick,52.2153827,0.1258329
In the Mood for Love,"2000Hong Kong, France",2000,"Hong Kong, France",Directed byWong Kar Wai,48.876213,2.3456817
Tokyo Story,1953Japan,1953,Japan,Directed byYasujirō Ozu,36.5748441,139.2394179
Citizen Kane,1941USA,1941,USA,Directed byOrson Welles,39.7837304,-100.445882
Vertigo,1958USA,1958,USA,Directed byAlfred Hitchcock,39.7837304,-100.445882
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","1975Belgium, France",1975,"Belgium, France",Directed byChantal Akerman,50.5265703,5.3579683
