Films,Year,Year1,Country,Director
Au hasard Balthazar,"1966France, Sweden",1966,"France, Sweden",Directed byRobert Bresson
Do the Right Thing,1989USA,1989,USA,Directed bySpike Lee
Playtime,1967France,1967,France,Directed byJacques Tati
Late Spring,1949Japan,1949,Japan,Directed byYasujirō Ozu
The Passion of Joan of Arc,1927France,1927,France,Directed byCarl Th. Dreyer
Seven Samurai,1954Japan,1954,Japan,Directed byAkira Kurosawa
Apocalypse Now,1979USA,1979,USA,Directed byFrancis Ford Coppola
Persona,1966Sweden,1966,Sweden,Directed byIngmar Bergman
Close-up,1989Iran,1989,Iran,Directed byAbbas Kiarostami
Meshes of the Afternoon,1943USA,1943,USA,"Directed byMaya Deren, Alexander Hackenschmied"
The Searchers,1956USA,1956,USA,Directed byJohn Ford
Cléo from 5 to 7,"1962France, Italy",1962,"France, Italy",Directed byAgnès Varda
La Règle du jeu,1939France,1939,France,Directed byJean Renoir
The Godfather,1972USA,1972,USA,Directed byFrancis Ford Coppola
Sunrise  A Song of Two Humans,1927USA,1927,USA,Directed byF.W. Murnau
Singin' in the Rain,1951USA,1951,USA,"Directed byGene Kelly, Stanley Donen"
Man with a Movie Camera,"1929Ukrainian SSR, USSR",1929,"Ukrainian SSR, USSR",Directed byDziga Vertov
Mulholland Dr.,"2001France, USA",2001,"France, USA",Directed byDavid Lynch
Beau travail,1998France,1998,France,Directed byClaire Denis
2001: A Space Odyssey,"1968USA, United Kingdom",1968,"USA, United Kingdom",Directed byStanley Kubrick
In the Mood for Love,"2000Hong Kong, France",2000,"Hong Kong, France",Directed byWong Kar Wai
Tokyo Story,1953Japan,1953,Japan,Directed byYasujirō Ozu
Citizen Kane,1941USA,1941,USA,Directed byOrson Welles
Vertigo,1958USA,1958,USA,Directed byAlfred Hitchcock
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","1975Belgium, France",1975,"Belgium, France",Directed byChantal Akerman
